Feature,Percentage,Drop_First_100,Drop_Last_100,Transform,Scaler,Num_Models,Unseen,Model,Train_Accuracy,Train_F1,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,Unseen_Accuracy,Unseen_F1,Best_Params,Unseen_Labels,Unseen_Indices,Preds_Unseen,Best_Model,Label_Encoder
4,0.7,True,False,none,StandardScaler,6,1,Decision Tree,0.9508771929824561,0.9509564083216471,0.4528341376932926,0.4723051111074693,0.4528341376932926,0.44533232557179026,0.8,0.7333333333333333,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",[4 3 2 1 0],"[np.int64(30), np.int64(149), np.int64(413), np.int64(270), np.int64(387)]","[np.int64(4), np.int64(3), np.int64(2), np.int64(1), np.int64(1)]","DecisionTreeClassifier(criterion='entropy', max_depth=10, min_samples_split=10)",LabelEncoder()
4,0.7,True,False,none,StandardScaler,8,1,Decision Tree,0.9771929824561404,0.977205848694255,0.4333448241898946,0.4503697844745701,0.4333448241898946,0.4335476709775054,0.8,0.7333333333333333,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",[4 3 2 1 0],"[np.int64(30), np.int64(149), np.int64(413), np.int64(270), np.int64(387)]","[np.int64(4), np.int64(3), np.int64(2), np.int64(1), np.int64(1)]",DecisionTreeClassifier(min_samples_split=5),LabelEncoder()
4,0.7,True,False,none,StandardScaler,10,1,Decision Tree,0.9824561403508771,0.9823972382853782,0.45961784694179064,0.46250774065888506,0.45961784694179064,0.4549636821471002,0.8,0.7333333333333333,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",[4 3 2 1 0],"[np.int64(30), np.int64(149), np.int64(413), np.int64(270), np.int64(387)]","[np.int64(4), np.int64(3), np.int64(2), np.int64(1), np.int64(1)]",DecisionTreeClassifier(max_depth=10),LabelEncoder()
4,0.7,True,False,none,MinMaxScaler,6,1,Decision Tree,0.9631578947368421,0.9631398013358822,0.44043632423914114,0.4537085305018067,0.44043632423914114,0.43898138762232913,0.4,0.3333333333333333,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",[4 3 2 1 0],"[np.int64(30), np.int64(149), np.int64(413), np.int64(270), np.int64(387)]","[np.int64(3), np.int64(3), np.int64(2), np.int64(0), np.int64(1)]","DecisionTreeClassifier(max_depth=10, min_samples_split=5)",LabelEncoder()
4,0.7,True,False,none,MinMaxScaler,8,1,Decision Tree,0.9771929824561404,0.977205848694255,0.4563060179257362,0.46842907393144656,0.4563060179257362,0.4544202286141086,0.8,0.7333333333333333,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",[4 3 2 1 0],"[np.int64(30), np.int64(149), np.int64(413), np.int64(270), np.int64(387)]","[np.int64(4), np.int64(3), np.int64(2), np.int64(1), np.int64(1)]",DecisionTreeClassifier(min_samples_split=5),LabelEncoder()
4,0.7,True,False,none,MinMaxScaler,10,1,Decision Tree,0.9631578947368421,0.9631398013358822,0.4562567713976165,0.4743470457606311,0.4562567713976165,0.457222379638913,0.8,0.7333333333333333,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",[4 3 2 1 0],"[np.int64(30), np.int64(149), np.int64(413), np.int64(270), np.int64(387)]","[np.int64(4), np.int64(3), np.int64(2), np.int64(1), np.int64(1)]","DecisionTreeClassifier(max_depth=10, min_samples_split=5)",LabelEncoder()
4,0.7,True,False,none,MaxAbsScaler,6,1,Decision Tree,0.9631578947368421,0.9631398013358822,0.4632497783906235,0.4824155553633037,0.4632497783906235,0.462596958253176,0.4,0.3333333333333333,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",[4 3 2 1 0],"[np.int64(30), np.int64(149), np.int64(413), np.int64(270), np.int64(387)]","[np.int64(3), np.int64(3), np.int64(2), np.int64(0), np.int64(1)]","DecisionTreeClassifier(max_depth=10, min_samples_split=5)",LabelEncoder()
4,0.7,True,False,none,MaxAbsScaler,8,1,Decision Tree,0.9526315789473684,0.9527245115935539,0.4387250073869792,0.47682411973295025,0.4387250073869792,0.44115829830535114,0.8,0.7333333333333333,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",[4 3 2 1 0],"[np.int64(30), np.int64(149), np.int64(413), np.int64(270), np.int64(387)]","[np.int64(4), np.int64(3), np.int64(2), np.int64(1), np.int64(1)]","DecisionTreeClassifier(max_depth=10, min_samples_leaf=2, min_samples_split=5)",LabelEncoder()
4,0.7,True,False,none,MaxAbsScaler,10,1,Decision Tree,0.9333333333333333,0.9335649516441493,0.48095390524967985,0.4862705435720566,0.48095390524967985,0.4660054509710617,1.0,1.0,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5}",[4 3 2 1 0],"[np.int64(30), np.int64(149), np.int64(413), np.int64(270), np.int64(387)]","[np.int64(4), np.int64(3), np.int64(2), np.int64(1), np.int64(0)]","DecisionTreeClassifier(criterion='entropy', max_depth=10, min_samples_leaf=4,
                       min_samples_split=5)",LabelEncoder()
4,0.7,True,False,none,RobustScaler,6,1,Decision Tree,0.9263157894736842,0.926613030246367,0.45290800748547233,0.45861221462641877,0.45290800748547233,0.4379583558147475,0.8,0.7333333333333333,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",[4 3 2 1 0],"[np.int64(30), np.int64(149), np.int64(413), np.int64(270), np.int64(387)]","[np.int64(4), np.int64(3), np.int64(2), np.int64(1), np.int64(1)]","DecisionTreeClassifier(criterion='entropy', min_samples_leaf=4,
                       min_samples_split=10)",LabelEncoder()
